event_id,ts_sensor,ts_fog_send,ts_fog_res,ts_cloud,lat_fog,lat_cloud,lat_e2e
4b8c716c-d83d-43d9-9233-8091f465cf9b,1767027258030,1767027258135,1767027258240,1767027260464,105,2224,2434
8bf316ef-6b4c-43d9-b3a8-90519eb7e928,1767027260036,1767027260141,1767027260229,1767027262721,88,2492,2685
b7b209f4-1095-4b91-9a31-d4a1cdc568fd,1767027262057,1767027262168,1767027262277,1767027264523,109,2246,2466
8b4b9006-61a9-4043-be08-eec98e5f95b8,1767027264079,1767027264183,1767027264275,1767027266566,92,2291,2487
ab3bedfe-d81b-49bc-8f4d-3644f1ccae1a,1767027266103,1767027266207,1767027266302,1767027268529,95,2227,2426
0dac070c-fc79-4375-a983-501762892411,1767027268126,1767027268230,1767027268317,1767027271271,87,2954,3145
a4e1bb39-aa20-47d2-9ac8-50dbb3d562b5,1767027270135,1767027270240,1767027270316,1767027272544,76,2228,2409
624a5846-630c-436b-a4e6-174057dd751d,1767027272154,1767027272258,1767027272336,1767027274546,78,2210,2392
80b6bcab-c040-4463-8693-231c9e613d65,1767027274167,1767027274272,1767027274349,1767027276505,77,2156,2338
1200167e-4daa-4556-8cce-c48ee055285b,1767027276182,1767027276287,1767027276362,1767027278525,75,2163,2343
51dc47c2-61c7-413d-812e-9cabafae5131,1767027278190,1767027278295,1767027278377,1767027280560,82,2183,2370
dcff56c5-f747-4335-93ec-1fd44e6d3633,1767027280209,1767027280314,1767027280370,1767027282509,56,2139,2300
3314a250-56de-444a-98e9-1a7ce5a72bf0,1767027282233,1767027282338,1767027282395,1767027284505,57,2110,2272
808403e3-4867-474a-948b-8a76672901ca,1767027284245,1767027284350,1767027284408,1767027286595,58,2187,2350
7750b5af-8050-429c-94d0-bbc8e2240477,1767027286265,1767027286373,1767027286492,1767027288765,119,2273,2500
0bdc77c2-74b6-47e7-b66a-c1d803c11f30,1767027288274,1767027288378,1767027288554,1767027291044,176,2490,2770
f3897080-4760-478b-ad87-b7850988fd1b,1767027290297,1767027290404,1767027290481,1767027292948,77,2467,2651
4f00e73d-7535-44d8-b493-769eaa668f90,1767027292305,1767027292410,1767027292515,1767027295085,105,2570,2780
8906076d-4138-4779-8acb-9644e0b9636c,1767027294322,1767027294427,1767027294529,1767027297065,102,2536,2743
a3436fad-9b20-4732-91b4-6dcb86fe706b,1767027296332,1767027296441,1767027296521,1767027298985,80,2464,2653
1aff01df-4f36-4d4d-9f91-09982ce2dd41,1767027298354,1767027298459,1767027298533,1767027300828,74,2295,2474
4fdcdc50-b982-4953-9ac4-e4634adedbd1,1767027300361,1767027300466,1767027300560,1767027303064,94,2504,2703
05f8ad2f-617f-40db-a998-8cb623fec02c,1767027302382,1767027302487,1767027302569,1767027304848,82,2279,2466
2b3c9f25-a5c0-4005-a0c8-eb9c9ef39996,1767027304393,1767027304498,1767027304576,1767027306924,78,2348,2531
76c59fde-3e82-4d76-ac3d-d606c74d147e,1767027573074,1767027573396,1767027573501,1767027577009,105,3508,3935
e9bf134b-0336-471a-8752-6344d936dfc2,1767027575074,1767027575180,1767027575237,1767027577609,57,2372,2535
159a0cdf-bfe8-4c00-b60a-041d63a634e8,1767027577072,1767027577181,1767027577237,1767027579509,56,2272,2437
52272663-a2e5-41c1-8e69-18eab61f7c39,1767027579081,1767027579185,1767027579241,1767027581508,56,2267,2427
4124741e-d607-4389-809c-7a14eac132d9,1767027581108,1767027581213,1767027581270,1767027583570,57,2300,2462
cefe7c67-d9cb-407e-8522-0ac1bafdbbbe,1767027583120,1767027583225,1767027583282,1767027585797,57,2515,2677
626c43e4-0393-4686-b7c5-b6560195b113,1767027585127,1767027585230,1767027585287,1767027587557,57,2270,2430
b3fb0c0f-779b-4042-b3e5-36f1c0774476,1767027587137,1767027587240,1767027587297,1767027589541,57,2244,2404
04c9c216-db4c-4ce9-9555-066ccd9ecd6b,1767027589142,1767027589247,1767027589303,1767027591929,56,2626,2787
394b8159-9199-4d88-aa51-2d59484f415e,1767027591159,1767027591263,1767027591322,1767027593607,59,2285,2448
a18dadf0-947b-473c-ba47-e2d115ab482f,1767027593173,1767027593281,1767027593339,1767027595590,58,2251,2417
c0862c36-6095-4d74-85dd-dd5a723f76ef,1767027595194,1767027595298,1767027595355,1767027597526,57,2171,2332
57fe225e-5f5b-4706-ba08-3f0c92238048,1767027597204,1767027597309,1767027597366,1767027599651,57,2285,2447
b6766622-f1d3-46b2-8c72-a4ca9a57fb6b,1767027599214,1767027599321,1767027599377,1767027601646,56,2269,2432
7703a59e-aadc-4043-972b-e20d65289954,1767027601225,1767027601329,1767027601388,1767027603591,59,2203,2366
f6d1154f-6bea-4a86-a5fb-f71caf531101,1767027603236,1767027603341,1767027603426,1767027605648,85,2222,2412
e0159fa0-d33a-4aa6-9fe0-d26c916270ee,1767027605256,1767027605360,1767027605429,1767027607579,69,2150,2323
a38bde93-be73-415d-8cfa-3e042b8e77b0,1767027607276,1767027607380,1767027607439,1767027609566,59,2127,2290
d475239b-378c-4afe-827b-413013847683,1767027609289,1767027609394,1767027609482,1767027611871,88,2389,2582
46728ce2-d2f6-4069-a48e-61a95ebcbe2f,1767027611308,1767027611441,1767027611566,1767027613867,125,2301,2559
7ae22cd3-7946-4035-840e-0783c0a25395,1767027613322,1767027613426,1767027613484,1767027615970,58,2486,2648
3b700349-5fee-4449-a66a-0d6ac37b8aea,1767027615338,1767027615442,1767027615504,1767027618094,62,2590,2756
